GeoName,Description,2012,2013,2014,2015,2016
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Total compensation of employees,,,,,
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Compensation of employees (thousands of dollars) 1/,203153389,213505110,229984736,238839875,234410966
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  Wages and salaries,170985383,179318286,193901551,200335171,196129088
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  Supplements to wages and salaries,32168006,34186824,36083185,38504704,38281878
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",    Employer contributions for employee pension and insurance funds 2/,21048899,22465309,23603920,25571814,25331821
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",    Employer contributions for government social insurance,11119107,11721515,12479265,12932890,12950057
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Average compensation per job (dollars) 3/,72232,73309,76086,77438,76180
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Compensation of employees by industry,,,,,
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  Farm compensation,87706,78219,93233,104200,91513
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  Nonfarm compensation,203065683,213426891,229891503,238735675,234319453
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",    Private nonfarm compensation,178648462,188163187,203304342,210093294,204328445
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","      Forestry, fishing, and related activities","55,513 E",59601,64609,69680,70220
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Forestry and logging,(D),(D),(D),8313,(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Fishing, hunting and trapping",(D),(D),(D),3152,(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Support activities for agriculture and forestry,(D),48736,53336,58215,59997
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","      Mining, quarrying, and oil and gas extraction",19763054,21340030,23082465,22190478,18959979
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Oil and gas extraction,"13,378,625 E",14295692,15104101,15146421,13403205
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Mining (except oil and gas),"74,225 E",86490,88858,104484,101308
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Support activities for mining,6205981,6957848,7889506,6939573,5455466
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Utilities,"2,439,689 E",(D),2522495,2701985,2638884
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Construction,14174584,15631356,17533893,18984494,18836928
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Construction of buildings,4466236,4978154,5745656,6274560,6035968
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Heavy and civil engineering construction,3931361,4457427,4697757,4933003,4802004
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Specialty trade contractors,5776987,6195775,7090480,7776931,7998956
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Manufacturing,23895561,24685550,26204507,26037054,23424070
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Durable goods manufacturing,"14,345,445 E",15053750,16200217,15424910,13153890
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Wood product manufacturing,(D),(D),(D),131799,151851
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Nonmetallic mineral product manufacturing,"330,818 E",(D),(D),(D),"415,502 E"
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Primary metal manufacturing,"287,091 E",322663,351026,335602,253927
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Fabricated metal product manufacturing,4175191,4383388,4854682,4425350,3604842
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Machinery manufacturing,"6,063,864 E",6180893,(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Computer and electronic product manufacturing,"1,880,734 E",(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","          Electrical equipment, appliance, and component manufacturing","587,387 E",(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","          Motor vehicles, bodies and trailers, and parts manufacturing",(D),(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Other transportation equipment manufacturing,"396,036 E",407019,401545,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Furniture and related product manufacturing,"100,148 E",114061,121426,(D),127865
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Miscellaneous manufacturing,473345,(D),(D),516697,(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Nondurable goods manufacturing,"9,172,444 E",9631800,10004290,10612144,10270180
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Food manufacturing,"496,396 E",(D),567788,(D),(D)
