GeoName,Description,2012,2013,2014,2015,2016
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Personal income (thousands of dollars),319401901,322397120,348998521,358024624,351579172
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Population (persons) 1/,6180817,6324167,6488046,6647465,6772470
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",Per capita personal income (dollars) 2/,51676,50979,53791,53859,51913
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Personal income (thousands of dollars),1177875369,1197071879,1244969926,1301217654,1327036300
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Population (persons) 1/,19864434,19968845,20052234,20118063,20153634
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",Per capita personal income (dollars) 2/,59296,59947,62086,64679,65846
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",Personal income (thousands of dollars),310993270,318133440,344116585,377140954,396208164
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",Population (persons) 1/,4458646,4521994,4585623,4642227,4679166
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",Per capita personal income (dollars) 2/,69751,70352,75042,81241,84675
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",Personal income (thousands of dollars),136205087,137458755,150433024,165656776,173428896
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",Population (persons) 1/,1895787,1924432,1947922,1968578,1978816
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",Per capita personal income (dollars) 2/,71846,71428,77227,84150,87643
